476,Ai fini del volo con deltaplano e parapendio è necessario tenere presenti le difficoltà e i rischi connessi ad attività svolta in una valle lunga e stretta perché:,[0/0]è sempre interessata da forti correnti discensionali.,[1/0]in essa eventuali brezze o venti sono comunque violente e turbolente particolarmente in corrispondenza del fondo valle.,[0/0]il fondo di una valle stretta non presenta generalmente aree idonee all’atterraggio a prescindere dal vento esistente.,

477,"Se deltaplano e parapendio sono particolarmente soggetti agli effetti negativi del wind shear, come può essere giudicato un atterraggio effettuato sottovento a ostacoli rilevanti in condizione di vento sostenuto?","[0/0]fattibile, ma con qualche difficoltà da piloti con poca esperienza.",[0/0]molto tecnico e quindi fattibile in sicurezza totale solo da piloti esperti.,[1/0]pericoloso in assoluto per qualsiasi pilota per l’imprevedibilità dei fenomeni aerologici associati a questa situazione.,

478,"Se in atterraggio il vento è tanto forte da limitare notevolmente la penetrazione, quali soluzioni adottare in avvicinamento?",[1/0]effettuare degli “otto” con la tecnica a “granchio” che ci dota comunque di una certa velocità al suolo permettendoci di affrontare in sicurezza situazioni di forte gradiente in prossimità del terreno.,"[0/0]eseguire comunque un circuito a “C” che elimina la necessità di fare molte virate, senza quindi doverci porre il problema dell’avanzamento rispetto al terreno.",[0/0]tentare un avvicinamento a “otto” normale atterrando all’indietro o su una traiettoria verticale se questo è ciò che si ottiene.,

479,Il vento è aumentato tanto da impedirci di atterrare normalmente. Ci vediamo costretti a farlo in un bosco. Quale tecnica è bene adottare?,"[1/0]atterrare controvento sulla chioma degli alberi, proteggersi il busto e il capo con braccia e mani nella successiva caduta, appena arrestata quest’ultima afferrare saldamente il ramo più vicino.","[0/0]atterrare controvento scegliendo di farlo in prossimità del suolo quanto possibile e nello spazio compreso tra due tronchi d’albero, iniziare a raccordare solo all’ultimo momento.","[0/0]spiralare sopra un’eventuale radura sino in prossimità del suolo, cercando di atterrare nel suo interno indipendentemente dalla direzione del vento anche a costo di assumere alti angoli di rollio in prossimità del suolo.",

480,"Vedendoci costretti a un atterraggio in acqua, quale precauzione è indispensabile adottare?",[0/0]solo dopo il contatto con l’acqua sganciarsi e/o fuoriuscire dall’imbrago.,[1/0]poco prima dell’impatto predisporre quanto possibile l’imbrago onde ci si possa liberare da esso al più presto a impatto avvenuto.,[0/0]atterrare in direzione parallela al moto ondoso.,

481,Per quale motivo il pilotaggio in prossimità del suolo deve necessariamente essere più dolce e attento?,"[1/0]perché il recupero da configurazioni inusuali in cui ci si venga a trovare intenzionalmente o meno, comporta una perdita di quota che può essere fatale.",[0/0]perché vicino al suolo le reazioni dell’ala ai comandi sono più brusche a causa della maggior densità dell’aria.,[0/0]perché l’effetto suolo si fa sentire alterando l’auto stabilità del mezzo.,

482,Quali conseguenze in volo si possono avere per non aver agganciato i cosciali della selletta del parapendio?,"[0/0]una posizione molto scomoda, ma il rischio è minimo se il pettorale è ben agganciato.",[1/0]una situazione di gravissimo pericolo quale la fuoriuscita dalla selletta e la caduta.,[0/0]una situazione di grave pericolo sempre che non ci si riesca ad aggrappare saldamente al fascio funicolare.,

483,Se durante il decollo in parapendio si constata che l’ala non si è gonfiata correttamente è preferibile per motivi di sicurezza:,[0/0]accelerare la corsa agendo sui comandi per ottenere il corretto gonfiaggio prima dello stacco.,"[1/0]agire sui freni e interrompere il decollo, tenendo presente che il parapendio offre il vantaggio di una possibile interruzione di decollo senza conseguenze.",[0/0]proseguire nella manovra di decollo e dopo che esso è avvenuto ripristinare per prima cosa con l’uso dei comandi la configurazione normale dell’ala.,

484,Analizzare in anticipo previsioni meteorologiche specifiche per il volo aumenta la sicurezza?,[0/0]no perché la situazione meteorologica locale può essere valutata solo al momento.,[0/0]sì perché una previsione positiva garantisce un volo sicuro.,[1/0]sì perché fornisce informazioni utili a valutare meglio la situazione meteorologica e la sua possibile evoluzione.,

485,"Se si va in volo con una “cravatta”, per non esserci accorti durante i controlli che uno o più cordini erano disposti sotto l’estradosso con l’ala stesa al suolo e per non aver controllato l’ala accuratamente dopo il gonfiaggio, che cosa dobbiamo attenderci?",[0/0]nulla di significativo a parte un modesto degrado delle prestazioni.,[0/0]una tendenza alla rotazione dell’ala che però è sempre possibile compensare con peso e freno.,[1/0]una situazione di grave pericolo che va dal ritorno violento al pendio all’impossibilità di recupero della cravatta con buone probabilità che l’ala sia difficilmente controllabile.,

486,"Se durante un volo in parapendio si rompe il cordino di un freno, si è in una situazione di emergenza. Come ci si deve comportare?",[1/0]pilotare con entrambi gli elevatori posteriori trazionandoli con dolcezza e limitatamente allo stretto indispensabile per arrivare in atterraggio.,[0/0]pilotare solo con il freno restante e manovrando meno possibile atterrare immediatamente sul pendio.,[0/0]pilotare con l’elevatore posteriore dalla parte del freno inefficiente e con il freno efficiente dall’altra.,

487,"E’ vero che la certificazione europea del parapendio garantisce, entro certi limiti, un ottimo livello di sicurezza a patto che siano rispettati il rapporto tra esperienza del pilota e classe di appartenenza dell’ala volata, nonché tutte le norme relative al tipo ed alla regolazione della selletta riportate nella certificazione?","[0/0]no, è un’affermazione poco attendibile.","[0/0]sì, ma è vero solo per ali standard.","[1/0]sì, è vero.",

488,E’ corretto affermare dal punto di vista della sicurezza del volo che un’ala certificata in una classe basica garantisce il pilota anche se inesperto in caso di configurazione inusuale?,"[0/0]sì, indipendentemente da altri fattori.",[0/0]assolutamente no.,"[1/0]sì, ma solo se sono state rispettate le norme relative al tipo e alla regolazione della selletta riportate nella certificazione.",

489,"Ai fini della sicurezza del volo, un pilota che si appresta a volare un’ala certificata in una classe non basica deve essere conscio che in caso di configurazione inusuale:",[1/0]necessita il suo intervento tempestivo e qualificato per tornare a condizioni di normalità senza finire in una grave sequenza di configurazioni inusuali.,[0/0]può attendersi il ritorno a condizioni di normalità anche se non in 4 secondi.,"[0/0]necessita il suo intervento sui comandi, che deve essere quello istintivo per ogni situazione.",

490,"Configurazioni inusuali del parapendio. Chiusura asimmetrica spontanea, tendenza dell’ala all’autorotazione. Il pilota dovrà in ogni caso prima ristabilire il controllo direzionale dell’ala e solo dopo averlo ristabilito intervenire con il freno dalla parte della chiusura per riaprire l’ala:",[0/0]errato. E’ fondamentale la riapertura dell’ala che quindi va fatta prima.,[1/0]corretto. Usando per ristabilire il controllo direzionale prima il peso e poi il freno per evitare lo stallo dovuto all’aumento del carico alare prodotto dalla chiusura.,[0/0]errato. E’ opportuno cercare prima di riaprire l’ala e se ciò non fosse possibile usare subito il paracadute di soccorso.,

491,"Configurazioni inusuali del parapendio. Chiusura frontale del bordo d’attacco, tendenza dell’ala a passare bruscamente dietro al pilota. Il pilota dovrà prima di tutto rilasciare entrambi i freni per poi tenersi pronto a controllare l’abbattimento in avanti dell’ala:","[1/0]corretto, la riapertura dell’ala se si agisce rilasciando simmetricamente i freni generalmente non è problematica, ma lo possono essere i pendolamenti che ne conseguono.","[0/0]corretto, anche se i pendolamenti che conseguono alla riapertura dell’ala non costituiscono mai un problema.","[0/0]errato, è necessario comunque attendere che l’ala si riapra da sola per evitare inutili pendolamenti e se ciò non avviene usare al più presto il paracadute di soccorso.",

492,"Configurazioni inusuali del parapendio. La conseguenza di un'eccessiva trazione asimmetrica dei comandi dei freni è lo stallo asimmetrico che induce una brusca e violenta rotazione dell’ala attorno all’asse verticale, detta “vite piatta negativa”. Per prevenire tale configurazione prima che si verifichi il pilota dovrà:",[0/0]affondare anche l’altro comando per poi rilasciarli entrambi verso l’alto dolcemente.,[0/0]rilasciare anche di poco il comando troppo affondato abbassando della stessa entità anche l’altro.,"[1/0]rilasciare prontamente e simmetricamente verso l’alto entrambi i comandi, pronti a intervenire per controllare l’abbattimento dell’ala in avanti se e quando si verifica.",

493,Configurazioni inusuali del parapendio. In che cosa consiste il post-stallo di un parapendio e che cosa può accadere se si verifica?,"[0/0]è la situazione prodotta dal permanere in condizioni di stallo, ma non può avere alcuna conseguenza se si verifica.",[0/0]è la condizione in cui si trova l’ala dopo una corretta rimessa dallo stallo; le conseguenze dipendono da come la rimessa si verifica.,[1/0]è la situazione prodotta dal permanere in condizioni di stallo e il conseguente collasso totale dell’ala.,

494,"Configurazioni inusuali del parapendio. All’uscita da uno stallo di “B” si constata di avere un tasso di caduta elevatissimo, una velocità di avanzamento quasi nulla con l’ala perfettamente gonfia sulla verticale. Che cosa può essere accaduto?",[1/0]si è finiti in stallo paracadutale per aver probabilmente rilasciato le bretelle “B” troppo lentamente verso l’alto e/o perché si sta volando un’ala dal tessuto divenuto poroso.,[0/0]si è finiti in stallo paracadutale per aver rilasciato troppo bruscamente le bretelle “B” all’uscita dalla manovra; la porosità dell’ala non ha nulla a che vedere con questa situazione.,"[0/0]nulla di significativo, il tasso di caduta elevato è normale all’uscita dallo stallo di “B” e per fortuna l’ala è gonfia sulla verticale.",

495,"Configurazioni inusuali del parapendio. Per ottenere al meglio l’uscita da uno stallo paracadutale il pilota dovrà, dopo aver rilasciato prontamente verso l’alto entrambi i freni, agire nell’ordine come segue:","[0/0]trazionare con decisione una sola delle bretelle anteriori oppure, se ciò non ha effetto, trazionare decisamente uno solo dei freni.","[1/0]spingere in avanti le bretelle A, utilizzare a fondo l’acceleratore , successivamente se l’assetto persiste affondare i freni simmetricamente e poi rilasciarli, utilizzare in ultima analisi un freno solo affondandolo e rilasciandolo e aspettandosi di uscire in quest’ultimo caso con una violenta virata o in “vite piatta negativa”.","[0/0]affondare con decisione un freno solo, pompare simmetricamente con i freni, spingere in ultima analisi con decisione in avanti le bretelle anteriori.",

496,Decollo in deltaplano con vento sostenuto. L’utilizzo di un assistente che tocchi il delta all’inizio della rincorsa è rischioso perché:,[0/0]l’assistente può essere trascinato giù dalla rampa o addirittura essere portato in volo.,[0/0]non tutti gli assistenti danno adeguate garanzie di comportamento anche se ben istruiti dal pilota.,"[1/0]l’assistente, anche se esperto non può avere la sensibilità rispetto al mezzo che invece ha il pilota e quindi può imprimergli un assetto e una posizione non ottimali.",

497,Il mancato o non corretto aggancio del pilota al deltaplano comporta:,[1/0]gravissime conseguenze sempre.,[0/0]la necessità di atterrare al più presto.,[0/0]la necessità di ridurre le manovre allo stretto indispensabile per non precipitare.,

498,"Se per avaria strutturale il dispositivo antidrappo non dovesse entrare in funzione quando necessario, una volta innescata la caduta a drappo:","[0/0]è bene cercare prima di uscirne con l’uso dei comandi e del peso, non c’è fretta per l’uso del paracadute di soccorso.","[1/0]è bene fare uso immediato del paracadute di soccorso, prima che la velocità verticale sia troppo elevata.","[0/0]è bene attendere che la velocità di caduta sia molto elevata prima di aprire il paracadute di soccorso, al fine di ottenerne l’immediata apertura.",

499,Le sollecitazioni che rendono pericoloso il looping eseguito con il deltaplano sono indotte:,[0/0]solo dalla velocità che è necessaria assumere prima di iniziare la manovra di cabrata.,[0/0]solo dalle accelerazioni cui è sottoposto il mezzo durante tutta la manovra.,[1/0]dalla velocità elevata che è necessario assumere prima di iniziare la manovra di cabrata e dalle accelerazioni cui è sottoposto il deltaplano durante tutta la manovra.,

500,Che cosa s’intende per tumbling del deltaplano?,[0/0]una brusca rotazione incontrollata attorno all’asse d’imbardata.,[1/0]una brusca rotazione incontrollata attorno all’asse trasversale.,[0/0]una brusca rotazione incontrollata attorno all’asse longitudinale.,

501,"Quali elementi, tra i seguenti, contribuiscono a provocare il tumbling del deltaplano?",[1/0]un angolo d’incidenza troppo elevato associato a condizioni di turbolenza.,[0/0]una velocità troppo elevata in condizioni di forte turbolenza.,[0/0]virate in condizioni di ascendenza.,

502,E’ vero che praticando il Volo Libero il pilota deve usare il paracadute di soccorso solo in ultima analisi e cioè quando non è possibile ripristinare altrimenti condizioni di volo nelle quali il mezzo risulti pilotabile sino a un atterraggio sicuro?,"[0/0]no, questa è una credenza sbagliata perché il paracadute di soccorso va usato sempre e al più presto possibile quando l’ala assume una configurazione inusuale.","[0/0]sì, tenendo presente che non c’è alcuna fretta nell’utilizzarlo perché non ha limiti per l’apertura.","[1/0]sì, tenendo presente comunque che dal momento in cui si decide di usarlo è bene farlo al più presto per consentirgli di aprirsi in tempo utile ed entro i suoi limiti strutturali.",

503,"Oltre al caso di malore del pilota, in quale di queste situazioni è utile l’apertura del paracadute di emergenza e come deve essere fatta?","[0/0]in forte turbolenza qualora risulti difficile il controllo del deltaplano o del parapendio, tirando con decisione la maniglia verso l’alto.","[0/0]in caso ci si trovi all’interno di una corrente ascensionale tanto forte da trascinarci in nube, tirando la maniglia con decisione verso il basso in modo che il paracadute si allontani più possibile dall’ala.","[1/0]in caso di rottura strutturale non potendo più controllare l’apparecchio o a seguito di configurazione inusuale che si riveli totalmente irrecuperabile con l’uso dei comandi e del peso, tirando con decisione la maniglia in modo che il paracadute si allontani più possibile dall’ala.",

504,"Se è vero che il paracadute di soccorso, come emerge inconfutabilmente da dati statistici, funziona nella quasi totalità dei casi, per quale motivo è comunque raccomandato il suo uso solo in casi in cui esso costituisce l’ultima risorsa disponibile?","[0/0]perché le statistiche non sono attendibili, e il suo funzionamento è aleatorio.","[1/0]perché pur garantendo un’altissima probabilità di funzionamento non è, nella quasi totalità dei casi, direzionabile e quindi non ci garantisce la scelta del punto di atterraggio.","[0/0]perché è quasi sempre inutile usarlo anche se funziona, qualsiasi sia la configurazione inusuale assunta è infatti sempre possibile uscirne in tempo utile mantenendo la calma e insistendo sui comandi. ",

Questo quiz è stato realizzato con QuizFaber 3.1 build 2,
